Cross_section,Test_Type,Sustained Loading,W (mm),D (mm),L (mm),Side Cover (mm),Bottom Cover (mm),Top Cover (mm),Reinforcement_Design,Tension Ratio (%),Comp Ratio (%),Longitudinal_Type,End_Anchorage,fy (MPa),fsu (MPa),Stirrup_Type,Volumetric Ratio,Cement_Type,W/C Ratio,fc (MPa),Corrosion_Method,Cathode_Type,Lc (mm),Icorr,Duration (days),Solution Concentration,Immersion Depth (mm),Wet_Dry_Ratio,Mass Loss (%),Sample Length (mm),Shear Span (mm),M_max_exp,ln(M_max_exp)
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,450,650,P,0.754,OPC,0.45,40,C,Control,0,0,0,0,0,N/A,0,0,300,7.05,1.953027617
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,450,650,P,0.754,OPC,0.45,40,C,Control,0,0,0,0,0,N/A,0,0,300,7.08,1.957273908
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,450,650,P,0.754,OPC,0.45,40,C,Control,0,0,0,3.5,0,N/A,0,0,300,7.05,1.953027617
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,447.08,645.79,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,0.5,3.5,150,N/A,0.72,1000,300,7.1,1.959390311
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,443.93,641.23,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,0.8,3.5,150,N/A,1.5,1000,300,7.02,1.948763218
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,442.91,639.76,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,0.8,3.5,150,N/A,1.75,1000,300,6.92,1.933692965
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,442.47,639.12,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,1,3.5,150,N/A,1.86,1000,300,6.95,1.938021976
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,442.06,638.53,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,1,3.5,150,N/A,1.96,1000,300,6.84,1.922787732
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,438.86,633.91,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,1.8,3.5,150,N/A,2.75,1000,300,6.6,1.887069649
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,434.81,628.06,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,2.3,3.5,150,N/A,3.75,1000,300,6.32,1.842927756
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,434.25,627.24,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,2.3,3.5,150,N/A,3.89,1000,300,6.38,1.852384091
S,SS_FPB_MONO,0,150,150,1000,75,35,15,T_C,0.503,0.698,D,S,433.4,626.02,P,0.754,OPC,0.45,40,IC ,External stainless steel plate,1000,2000,2,3.5,150,N/A,4.1,1000,300,6.33,1.845300236
R,SS_FPB_MONO,0,150,200,2300,31,31,25,T_C,0.524,0.335,D,S,575,655,P,0.166,PCT2,0.5,50,C,Control,0,0,0,0,0,N/A,0,0,800,15.1,2.714694744
R,SS_FPB_MONO,0,150,200,2300,31,31,25,T_C,0.524,0.335,D,S,575,655,P,0.166,PCT2,0.5,50,C,Control,0,0,0,0,0,N/A,0,0,800,15.7,2.753660712
R,SS_FPB_MONO,0,150,200,2300,31,31,25,T_C,0.524,0.335,D,S,478.54,545.12,P,0.166,PCT2,0.5,34,IC ,External stainless steel bars,2300,100,101,3,150,N/A,18.64,400,800,10.1,2.312535424
R,SS_FPB_MONO,0,150,200,2300,31,31,25,T_C,0.524,0.335,D,S,486.04,553.66,P,0.166,PCT2,0.5,34,IC ,External stainless steel bars,2300,100,117,3,150,N/A,17.19,400,800,10.5,2.351375257
R,SS_FPB_MONO,0,150,200,2300,31,31,25,T_C,0.524,0.335,D,S,503.16,573.17,P,0.166,PCT2,0.5,34,IC ,External stainless steel bars,2300,100,160,3,150,N/A,13.88,400,800,11.6,2.451005098
R,SS_FPB_MONO,0,150,200,2300,31,31,25,T_C,0.524,0.335,D,S,438.46,499.47,P,0.166,PCT2,0.5,34,IC ,External stainless steel bars,2300,100,190,3,150,N/A,26.38,400,800,8.6,2.151762203
R,SS_FPB_MONO,0,150,200,2300,32,32,25,T_C,1.508,0.335,D,S,585,673,P,0.166,PCT2,0.5,48,C,Control,0,0,0,0,0,N/A,0,0,800,36.1,3.586292865
R,SS_FPB_MONO,0,150,200,2300,32,32,25,T_C,1.508,0.335,D,S,585,673,P,0.166,PCT2,0.5,48,C,Control,0,0,0,0,0,N/A,0,0,800,38.3,3.645449896
R,SS_FPB_MONO,0,150,200,2300,32,32,25,T_C,1.508,0.335,D,S,530.34,610.11,P,0.166,PCT2,0.5,35,IC ,External stainless steel bars,2300,100,175,3,150,N/A,10.38,400,800,29,3.36729583
R,SS_FPB_MONO,0,150,200,2300,32,32,25,T_C,1.508,0.67,D,S,585,673,P,0.333,PCT2,0.5,49,C,Control,0,0,0,0,0,N/A,0,0,800,38.1,3.640214282
R,SS_FPB_MONO,0,150,200,2300,32,32,25,T_C,1.508,0.67,D,S,585,673,P,0.333,PCT2,0.5,49,C,Control,0,0,0,0,0,N/A,0,0,800,38.8,3.658420247
R,SS_FPB_MONO,0,150,200,2300,32,32,25,T_C,1.508,0.67,D,S,533.67,613.94,P,0.333,PCT2,0.5,37,IC ,External stainless steel bars,2300,100,111,3,150,N/A,9.75,400,800,28.2,3.339321978
R,SS_FPB_MONO,0,150,200,2300,32,32,25,T_C,1.508,0.67,D,S,504.13,579.96,P,0.333,PCT2,0.5,37,IC ,External stainless steel bars,2300,100,128,3,150,N/A,15.36,400,800,28.5,3.349904087
R,SS_FPB_MONO,0,150,200,2300,32,32,25,T_C,1.508,0.67,D,S,513.87,591.17,P,0.333,PCT2,0.5,37,IC ,External stainless steel bars,2300,100,190,3,150,N/A,13.51,400,800,27.5,3.314186005
R,SS_FPB_MONO,0,200,250,2400,30,30,30,T_C,0.796,0.796,D,H-90,343,477,D,0.565,OPC,0.65,39.2,C,Control,0,0,0,0,0,N/A,0,0,750,33.6,3.514526067
R,SS_FPB_MONO,0,200,250,2400,30,30,30,T_C,0.796,0.796,D,H-90,331.27,460.69,D,0.565,OPC,0.65,39.2,IC,External copper plate,2400,1000,5,3.5,100,N/A,3.8,500,750,31.99,3.465345201
R,SS_FPB_MONO,0,200,250,2400,30,30,30,T_C,0.796,0.796,D,H-90,318.61,443.09,D,0.565,OPC,0.65,39.2,IC,External copper plate,2400,1000,10,3.5,100,N/A,7.9,500,750,29.63,3.388618599
R,SS_FPB_MONO,0,200,250,2400,30,30,30,T_C,0.796,0.796,D,H-90,264.9,368.39,D,0.565,OPC,0.65,39.2,IC,External copper plate,2400,1000,25,3.5,100,N/A,25.3,500,750,25.35,3.23277873
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,520,598,D,0.808,OPC,0.53,40,C,Control,0,0,0,0,0,N/A,0,0,290,10.02,2.304533194
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,520,598,D,0.808,OPC,0.53,40,C,Control,0,0,0,0,0,N/A,0,0,290,10.02,2.304533194
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,520,598,N/A,0,OPC,0.53,40,C,Control,0,0,0,0,0,N/A,0,0,290,9.47,2.2479705
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,520,598,N/A,0,OPC,0.53,40,C,Control,0,0,0,0,0,N/A,0,0,290,9.47,2.2479705
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,520,598,N/A,0,OPC,0.53,40,C,Control,0,0,0,0,0,N/A,0,0,290,9.47,2.2479705
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,520,598,N/A,0,OPC,0.53,40,C,Control,0,0,0,0,0,N/A,0,0,290,6.96,1.940179474
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,520,598,N/A,0,OPC,0.53,40,C,Control,0,0,0,0,0,N/A,0,0,290,6.96,1.940179474
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,508.3,584.55,D,0.808,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,290,9.44,2.244903013
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,508.3,584.55,D,0.808,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,290,9.44,2.244903013
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,496.6,571.09,D,0.808,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,290,9.12,2.210524627
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,496.6,571.09,D,0.808,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,290,9.12,2.210524627
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,484.9,557.64,D,0.808,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,290,8.35,2.122501031
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,484.9,557.64,D,0.808,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,290,8.35,2.122501031
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,473.2,544.18,D,0.808,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,290,6.54,1.87786071
R,SS_FPB_MONO,0,100,150,910,25,25,25,T_C,1.047,0.377,D,H-90,473.2,544.18,D,0.808,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,290,6.54,1.87786071
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,290,8.35,2.122501031
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,290,8.35,2.122501031
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,290,6.79,1.914861666
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,290,6.79,1.914861666
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,290,4.76,1.559406979
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,290,4.76,1.559406979
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,290,2.42,0.884387183
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,290,2.42,0.884387183
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,0.7,3.5,50,N/A,1.25,860,290,8.95,2.192072439
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,0.7,3.5,50,N/A,1.25,860,290,8.95,2.192072439
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,0.7,3.5,50,N/A,1.25,860,290,8.95,2.192072439
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,290,8.29,2.115532362
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,290,8.29,2.115532362
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,1.3,3.5,50,N/A,2.5,860,290,8.29,2.115532362
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,502.45,577.82,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2,3.5,50,N/A,3.75,860,290,7.53,2.018297254
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,502.45,577.82,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2,3.5,50,N/A,3.75,860,290,7.53,2.018297254
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,502.45,577.82,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2,3.5,50,N/A,3.75,860,290,7.53,2.018297254
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,290,6.63,1.891076761
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,290,6.63,1.891076761
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,2.7,3.5,50,N/A,5,860,290,6.63,1.891076761
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,290,4.51,1.506186283
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,290,4.51,1.506186283
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,4,3.5,50,N/A,7.5,860,290,4.51,1.506186283
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,290,2.19,0.783673207
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,290,2.19,0.783673207
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,3000,5.3,3.5,50,N/A,10,860,290,2.19,0.783673207
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,1.3,3.5,50,N/A,2.5,860,290,5.96,1.784986585
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,1.3,3.5,50,N/A,2.5,860,290,5.96,1.784986585
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,2.7,3.5,50,N/A,5,860,290,4.9,1.589439266
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,2.7,3.5,50,N/A,5,860,290,4.9,1.589439266
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,4,3.5,50,N/A,7.5,860,290,3.52,1.259454814
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,4,3.5,50,N/A,7.5,860,290,3.52,1.259454814
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,5.3,3.5,50,N/A,10,860,290,1.83,0.602675277
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,0.67,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,5.3,3.5,50,N/A,10,860,290,1.83,0.602675277
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,2,3.5,50,N/A,1.25,860,290,8.96,2.192881828
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,2,3.5,50,N/A,1.25,860,290,8.96,2.192881828
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,2,3.5,50,N/A,1.25,860,290,8.96,2.192881828
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,4,3.5,50,N/A,2.5,860,290,8.31,2.117279087
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,4,3.5,50,N/A,2.5,860,290,8.31,2.117279087
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,4,3.5,50,N/A,2.5,860,290,8.31,2.117279087
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,502.45,577.82,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,6,3.5,50,N/A,3.75,860,290,7.54,2.020222182
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,502.45,577.82,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,6,3.5,50,N/A,3.75,860,290,7.54,2.020222182
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,502.45,577.82,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,6,3.5,50,N/A,3.75,860,290,7.54,2.020222182
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,8,3.5,50,N/A,5,860,290,7,1.946410024
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,8,3.5,50,N/A,5,860,290,7,1.946410024
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,8,3.5,50,N/A,5,860,290,7,1.946410024
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,12,3.5,50,N/A,7.5,860,290,5.54,1.711813979
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,12,3.5,50,N/A,7.5,860,290,5.54,1.711813979
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,12,3.5,50,N/A,7.5,860,290,5.54,1.711813979
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,16,3.5,50,N/A,10,860,290,3.94,1.372195437
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,16,3.5,50,N/A,10,860,290,3.94,1.372195437
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,1000,16,3.5,50,N/A,10,860,290,3.94,1.372195437
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,1,3.5,50,N/A,1.25,860,290,8.83,2.178211638
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,1,3.5,50,N/A,1.25,860,290,8.83,2.178211638
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,1,3.5,50,N/A,1.25,860,290,8.83,2.178211638
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,2,3.5,50,N/A,2.5,860,290,8.25,2.110273805
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,2,3.5,50,N/A,2.5,860,290,8.25,2.110273805
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,2,3.5,50,N/A,2.5,860,290,8.25,2.110273805
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,502.45,577.82,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,3,3.5,50,N/A,3.75,860,290,7.44,2.006669216
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,502.45,577.82,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,3,3.5,50,N/A,3.75,860,290,7.44,2.006669216
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,502.45,577.82,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,3,3.5,50,N/A,3.75,860,290,7.44,2.006669216
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,4,3.5,50,N/A,5,860,290,6.73,1.906277923
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,4,3.5,50,N/A,5,860,290,6.73,1.906277923
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,496.6,571.09,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,4,3.5,50,N/A,5,860,290,6.73,1.906277923
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,6,3.5,50,N/A,7.5,860,290,4.83,1.57453586
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,6,3.5,50,N/A,7.5,860,290,4.83,1.57453586
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,484.9,557.64,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,6,3.5,50,N/A,7.5,860,290,4.83,1.57453586
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,8,3.5,50,N/A,10,860,290,3.61,1.283846267
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,8,3.5,50,N/A,10,860,290,3.61,1.283846267
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,473.2,544.18,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,2000,8,3.5,50,N/A,10,860,290,3.61,1.283846267
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,4000,0.5,3.5,50,N/A,1.25,860,290,8.71,2.164988305
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,4000,0.5,3.5,50,N/A,1.25,860,290,8.71,2.164988305
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,514.15,591.27,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,4000,0.5,3.5,50,N/A,1.25,860,290,8.71,2.164988305
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,4000,1,3.5,50,N/A,2.5,860,290,7.83,2.05796251
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,4000,1,3.5,50,N/A,2.5,860,290,7.83,2.05796251
R,SS_FPB_MONO,0,100,150,910,25,25,0,ST,1.047,0,D,H-90,508.3,584.55,N/A,0,OPC,0.53,40,IC ,External galvanised steel tray,910,4000,1,3.5,50,N/A,2.5,860,290,7.83,2.05796251
